player,age,team_id,per,ws,bpm,year
Quincy Acy,28,PHO,2.9,-0.1,-8.1,2019
Jaylen Adams,22,ATL,7.6,0.1,-4.3,2019
Steven Adams,25,OKC,18.5,9.1,1.1,2019
Bam Adebayo,21,MIA,17.9,6.8,1.8,2019
LaMarcus Aldridge,33,SAS,22.9,9.3,1.8,2019
Grayson Allen,23,UTA,7.5,0.0,-6.3,2019
Jarrett Allen,20,BRK,18.5,7.6,1.6,2019
Al-Farouq Aminu,28,POR,13.2,5.8,0.7,2019
Justin Anderson,25,ATL,11.2,0.4,-2.7,2019
Kyle Anderson,25,MEM,12.8,2.7,0.8,2019
Ike Anigbogu,20,IND,-6.0,-0.1,-16.2,2019
Carmelo Anthony,34,HOU,10.9,0.3,-2.7,2019
OG Anunoby,21,TOR,9.8,2.0,-2.4,2019
Ryan Arcidiacono,24,CHI,11.6,3.7,-1.9,2019
Trevor Ariza,33,PHO,10.5,0.6,-1.1,2019
Trevor Ariza,33,WAS,13.0,1.9,-1.4,2019
Deandre Ayton,20,PHO,20.5,5.8,0.2,2019
Dwayne Bacon,23,CHO,11.7,1.2,-3.7,2019
Ron Baker,25,NYK,4.4,0.0,-6.6,2019
Ron Baker,25,WAS,-2.0,-0.1,-7.9,2019
Wade Baldwin,22,POR,1.3,-0.3,-10.3,2019
Lonzo Ball,21,LAL,11.7,1.6,-0.3,2019
J.J. Barea,34,DAL,16.3,1.0,-0.6,2019
Will Barton,28,DEN,11.0,1.2,-1.8,2019
Nicolas Batum,30,CHO,11.9,3.7,-0.3,2019
Jerryd Bayless,30,MIN,8.5,0.0,-4.6,2019
Aron Baynes,32,BOS,14.0,2.4,-1.5,2019
Kent Bazemore,29,ATL,11.9,0.7,-2.3,2019
Bradley Beal,25,WAS,20.8,7.6,2.9,2019
Malik Beasley,22,DEN,14.2,4.5,0.1,2019
Marco Belinelli,32,SAS,11.9,2.5,-1.7,2019
Jordan Bell,24,GSW,12.9,1.6,-0.9,2019
DeAndre' Bembry,24,ATL,10.8,0.9,-2.4,2019
Dragan Bender,21,PHO,9.5,0.5,-4.1,2019
Patrick Beverley,30,LAC,11.8,4.8,0.9,2019
Khem Birch,26,ORL,19.2,2.8,1.2,2019
Bismack Biyombo,26,CHO,14.4,2.0,-2.5,2019
Nemanja Bjelica,30,SAC,15.4,4.5,0.9,2019
Antonio Blakeney,22,CHI,10.6,-0.5,-5.2,2019
Eric Bledsoe,29,MIL,19.3,8.2,3.1,2019
Jaron Blossomgame,25,CLE,10.2,0.3,-3.8,2019
Andrew Bogut,34,GSW,13.4,0.3,-2.9,2019
Jonah Bolden,23,PHI,12.7,1.4,-0.7,2019
Isaac Bonga,19,LAL,6.0,-0.1,-4.8,2019
Devin Booker,22,PHO,20.2,3.5,1.0,2019
Chris Boucher,26,TOR,22.2,0.7,2.6,2019
