color,director_name,duration,gross,genres,movie_title,title_year,language,country,budget,imdb_score,actors,movie_facebook_likes
Color,Martin Scorsese,240,116866727,Biography|Comedy|Crime|Drama,The Wolf of Wall Street,2013,English,USA,100000000,8.2,"Leonardo DiCaprio,Matthew McConaughey,Jon Favreau",138000
Color,Shane Black,195,408992272,Action|Adventure|Sci-Fi,Iron Man 3,2013,English,USA,200000000,7.2,"Robert Downey Jr.,Jon Favreau,Don Cheadle",95000
color ,Quentin Tarantino,187,54116191,Crime|Drama|Mystery|Thriller|Western,The Hateful Eight,2015,English,USA,44000000,7.9,"Craig Stark,Jennifer Jason Leigh,Zoë Bell",114000
Color,Kenneth Lonergan,186,46495,Drama,Margaret,2011,English,usa,14000000,6.5,"Matt Damon,Kieran Culkin,John Gallagher Jr.",0
Color,Peter Jackson,186,258355354,Adventure|Fantasy,The Hobbit: The Desolation of Smaug,2013,English,USA,225000000,7.9,"Aidan Turner,Adam Brown,James Nesbitt",83000
,N/A,183,330249062,Action|Adventure|Sci-Fi,Batman v Superman: Dawn of Justice,202,English,USA,250000000,6.9,"Henry Cavill,Lauren Cohan,Alan D. Purwin",197000
Color,Peter Jackson,-50,303001229,Adventure|Fantasy,The Hobbit: An Unexpected Journey,2012,English,USA,180000000,7.9,"Aidan Turner,Adam Brown,James Nesbitt",166000
Color,Edward Hall,180,,Drama|Romance,Restless,2012,English,UK,,7.2,"Rufus Sewell,Hayley Atwell,Charlotte Rampling",434
Color,Joss Whedon,173,623279547,Action|Adventure|Sci-Fi,The Avengers,2012,English,USA,220000000,8.1,"Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson",123000
Color,Joss Whedon,173,623279547,Action|Adventure|Sci-Fi,The Avengers,2012,English,USA,220000000,8.1,"Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson",123000
,Tom Tykwer,172,27098580,Drama|Sci-Fi,Cloud Atlas,2012,English,Germany,102000000,-7.5,"Tom Hanks,Jim Sturgess,Jim Broadbent",124000
Color,Null,158,102515793,Crime|Drama|Mystery|Thriller,The Girl with the Dragon Tattoo,2011,English,USA,90000000,7.8,"Robin Wright,Goran Visnjic,Joely Richardson",54000
Color,Christopher Spencer,170,59696176,,Son of God,2014,English,USA,22000000,5.6,"Roma Downey,Amber Rose Revah,Darwin Shaw",15000
Color,Christopher Nolan,169,187991439,Adventure|Drama|Sci-Fi,Interstellar,2014,English,USA,165000000,8.6,"Matthew McConaughey,Anne Hathaway,Mackenzie Foy",349000
Color,F. Gary Gray,167,161029270,Biography|Crime|Drama|History|Music,Straight Outta Compton,2015,English,USA,28000000,7.9,"Aldis Hodge,Neil Brown Jr.,R. Marcos Taylor",76000
,Richard Linklater,165,25359200,Drama,Boyhood,2014,English,USA,4000000,8,"Ellar Coltrane,Lorelei Linklater,Libby Villari",92000
Color,Quentin Tarantino,580,162804648,Drama|Western,Django Unchained,2012,English,USA,100000000,8.5,"Leonardo DiCaprio,Christoph Waltz,Ato Essandoh",199000
Color,Michael Bay,165,245428137,Action|Adventure|Sci-Fi,Transformers: Age of Extinction,2014,English,USA,210000000,5.7,"Bingbing Li,Sophia Myles,Kelsey Grammer",56000
,Christopher Nolan,164,448130642,Action|Thriller,The Dark Knight Rises,2012,English,USA,250000000,8.5,"Tom Hardy,Christian Bale,Joseph Gordon-Levitt",164000
Color,Peter Jackson,164,255108370,Adventure|Fantasy,The Hobbit: The Battle of the Five Armies,2014,English,New Zealand,250000000,7.5,"Aidan Turner,Adam Brown,James Nesbitt",65000
Color,Tom Hooper,158,148775460,Drama|Musical|Romance,Les Misérables,2012,English,USA,61000000,7.6,"Hugh Jackman,Eddie Redmayne,Anne Hathaway",144000
Color,Tom Hooper,158,148775460,Drama|Musical|Romance,Les Misérables,2012,English,USA,61000000,7.6,"Hugh Jackman,Eddie Redmayne,Anne Hathaway",144000
Color,Kathryn Bigelow,157,95720716,Drama|History|Thriller,Zero Dark Thirty,2012,English,USA,40000000,7.4,"Jennifer Ehle,Harold Perrineau,Parker Sawyers",39000
Color,Ridley Scott,156,105219735,Action|Adventure|Drama|History,Robin Hood,2010,English,USA,200000000,6.7,"Mark Addy,William Hurt,Scott Grimes",17000
Color,,156,183635922,Adventure|Drama|Thriller|Western,The Revenant,2015,English,USA,135000000,8.1,"Leonardo DiCaprio,Tom Hardy,Lukas Haas",190000
Color,Michael Bay,154,352358779,Action|Adventure|Sci-Fi,Transformers: Dark of the Moon,2011,English,USA,195000000,6.3,"Glenn Morshower,Lester Speight,Kevin Dunn",46000
Color,Denis Villeneuve,153,60962878,Crime|Drama|Mystery|Thriller,Prisoners,2013,English,USA,46000000,8.1,"Hugh Jackman,Jake Gyllenhaal,Dylan Minnette",86000
Color,Gnana Rajasekaran,153,,Biography|Drama|History,Ramanujan,2014,English,India,,7,"Mani Bharathi,Michael Lieber,Kevin McGowan",58
Color,Marc Webb,153,262030663,Action|Adventure|Fantasy,The Amazing Spider-Man,2012,English,USA,230000000,7,"Emma Stone,Andrew Garfield,Chris Zylka",56000
Color,Nan,151,228430993,Adventure|Drama|Sci-Fi,The Martian,2015,English,USA,108000000,8.1,"Matt Damon,Donald Glover,Benedict Wong",153000
Color,Ridley Scott,150,65007045,Action|Adventure|Drama,Exodus: Gods and Kings,2014,English,UK,140000000,6.1,"Christian Bale,María Valverde,Ben Mendelsohn",51000
Color,Ridley Scott,150,65007045,Action|Adventure|Drama,Exodus: Gods and Kings,2014,English,UK,140000000,6.1,"Christian Bale,María Valverde,Ben Mendelsohn",51000
Color,,150,182204440,Biography|Drama|History|War,Lincoln,2012,English,USA,65000000,7.4,"Joseph Gordon-Levitt,Hal Holbrook,Bruce McGill",71000
Color,Mike Leigh,150,3958500,Biography|Drama|History,Mr. Turner,2014,English,UK,N/A,6.8,"Lesley Manville,Ruth Sheen,Karl Johnson",0
Color,Gore Verbinski,650,89289910,Action|Adventure|Western,The Lone Ranger,2013,English,USA,215000000,6.5,"Johnny Depp,Ruth Wilson,Tom Wilkinson",48000
Color,David Fincher,149,167735396,Crime|Drama|Mystery|Thriller,Gone Girl,2014,English,USA,61000000,8.1,"Patrick Fugit,Sela Ward,Emily Ratajkowski",146000
Color,Bryan Singer,149,233914986,Action|Adventure|Fantasy|Sci-Fi|Thriller,X-Men: Days of Future Past,2014,English,United States,200000000,8,"Jennifer Lawrence,Peter Dinklage,Hugh Jackman",82000
Color,Jay Oliva,148,,Action|Animation|Crime|Sci-Fi|Thriller,"Batman: The Dark Knight Returns, Part 2",2013,English,USA,3500000,8.4,"Michael Emerson,Mark Valley,Grey Griffin",5000
Color,Christopher Nolan,148,292568851,Action|Adventure|Sci-Fi|Thriller,Inception,2010,English,USA,160000000,8.8,"Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt",175000
Color,Paul Thomas Anderson,148,8093318,Comedy|Crime|Drama|Mystery|Romance,Inherent Vice,2014,English,USA,20000000,6.7,"Martin Dew,Katherine Waterston,Serena Scott Thomas",18000
Color,Sam Mendes,148,200074175,Action|Adventure|Thriller,Spectre,2015,English,UK,245000000,6.8,"Christoph Waltz,Rory Kinnear,Stephanie Sigman",85000
Color,,147,407197282,Action|Adventure|Sci-Fi,Captain America: Civil War,2016,English,USA,250000000,8.2,"Robert Downey Jr.,Scarlett Johansson,Chris Evans",72000
Color,Michael Patrick King,146,95328937,Comedy|Drama|Romance,Sex and the City 2,2010,English,USA,100000000,4.3,"Chris Noth,Liza Minnelli,Kristin Davis",0
Color,Tate Taylor,146,169705587,Drama,The Help,2011,English,USA,25000000,8.1,"Emma Stone,Bryce Dallas Howard,Mike Vogel",75000
Color,Francis Lawrence,146,424645577,Adventure|Sci-Fi|Thriller,The Hunger Games: Catching Fire,2013,English,USA,130000000,7.6,"Jennifer Lawrence,Josh Hutcherson,Sandra Ellis Lafferty",82000
