Date,Industry,ret
1926-07-01,NoDur,1.45
1926-07-01,Utils,7.04
1926-07-01,Hlth,1.77
1926-07-01,Shops,0.11
1926-07-01,Telcm,0.83
1926-07-01,HiTec,2.9
1926-07-01,Enrgy,-1.18
1926-07-01,Manuf,4.69
1926-07-01,Durbl,15.55
1926-07-01,Other,2.16
1926-08-01,Utils,-1.69
1926-08-01,NoDur,3.97
1926-08-01,Durbl,3.68
1926-08-01,Hlth,4.25
1926-08-01,Manuf,2.81
1926-08-01,Enrgy,3.47
1926-08-01,Other,4.38
1926-08-01,Telcm,2.17
1926-08-01,Shops,-0.71
1926-08-01,HiTec,2.66
1926-09-01,Shops,0.21
1926-09-01,Manuf,1.15
1926-09-01,HiTec,-0.38
1926-09-01,Utils,2.04
1926-09-01,Hlth,0.69
1926-09-01,NoDur,1.14
1926-09-01,Enrgy,-3.39
1926-09-01,Durbl,4.8
1926-09-01,Telcm,2.41
1926-09-01,Other,0.29
1926-10-01,Manuf,-3.63
1926-10-01,Shops,-2.29
1926-10-01,Enrgy,-0.78
1926-10-01,Other,-2.85
1926-10-01,NoDur,-1.24
1926-10-01,HiTec,-4.58
1926-10-01,Hlth,-0.57
1926-10-01,Telcm,-0.11
1926-10-01,Durbl,-8.23
1926-10-01,Utils,-2.63
1926-11-01,Other,2.11
1926-11-01,Hlth,5.42
1926-11-01,Telcm,1.63
1926-11-01,Manuf,4.1
1926-11-01,NoDur,5.21
1926-11-01,Durbl,-0.19
1926-11-01,Shops,6.43
1926-11-01,HiTec,4.71
1926-11-01,Utils,3.71
1926-11-01,Enrgy,0.01
1926-12-01,Telcm,1.99
1926-12-01,Hlth,0.11
1926-12-01,Durbl,9.89
1926-12-01,HiTec,-0.02
1926-12-01,Enrgy,2.82
1926-12-01,Other,3.4
1926-12-01,Manuf,3.74
1926-12-01,Shops,0.62
1926-12-01,Utils,-0.17
1926-12-01,NoDur,0.82
1927-01-01,NoDur,-0.67
1927-01-01,Hlth,5.05
1927-01-01,Shops,-2.55
1927-01-01,Enrgy,1.29
1927-01-01,HiTec,-1.13
1927-01-01,Telcm,1.88
1927-01-01,Durbl,-0.92
1927-01-01,Manuf,-0.08
1927-01-01,Utils,-1.79
1927-01-01,Other,1.51
1927-02-01,HiTec,4.45
1927-02-01,Manuf,5.81
1927-02-01,Durbl,8.91
1927-02-01,Enrgy,1.47
1927-02-01,NoDur,3.37
1927-02-01,Utils,4.53
1927-02-01,Shops,3.61
1927-02-01,Other,5.06
1927-02-01,Telcm,3.97
