Winner,Loser
Abilene Christian,Hillsdale
Akron,UMBC
Alabama,Towson
Alabama State,Auburn Montgomery
Arizona,Mount St. Mary's
Arizona State,Chicago State
Army,Air Force
Auburn,Milwaukee
Baylor,McNeese State
Boise State,San Diego
Boston College,New Hampshire
Texas-Arlington,Bradley
BYU,Long Beach State
Brown,St. Peter's
Bucknell,Marist
Buffalo,South Dakota State
High Point,Cal State Bakersfield
University of California,Alcorn State
UC-Irvine,Chapman
Campbell,Barber-Scotia
Fairfield,Central Connecticut
Central Michigan,Alma
Chattanooga,Hiwassee
Cincinnati,Saint Francis (PA)
Virginia Military Institute,Citadel
Clemson,Florida A&M
Coastal Carolina,Trinity Baptist
Colorado,Drexel
UConn,Bryant
Creighton,Central Arkansas
Dayton,Alabama A&M
DePaul,UIC
Detroit,Rochester (MI)
Duke,Presbyterian
East Carolina,North Carolina Wesleyan
Eastern Kentucky,Savannah State
Eastern Michigan,St. Francis (IL)
Eastern Washington,Texas Southern
Elon,Florida Atlantic
Florida,William & Mary
Florida International,Florida College
Fordham,NYIT
College of Charleston,Furman
Cornell,George Mason
George Washington,Grambling
Georgia State,Tennessee Temple
Georgia Tech,Georgia
Gonzaga,Sacramento State
Sacred Heart,Hartford
Harvard,MIT
Hawaii,Arkansas-Pine Bluff
Hofstra,Jacksonville
Idaho,Eastern Oregon
Illinois,Georgia Southern
Incarnate Word,Texas-Tyler
Indiana,Mississippi Valley State
Iona,Cleveland State
Iowa,Hampton
Iowa State,Oakland
Fort Wayne,Manchester
Indiana State,IUPUI
Virginia,James Madison
Kansas,UCSB
Kansas State,Southern Utah
Kentucky,Grand Canyon
Villanova,Lehigh
Liberty,Randolph
Lipscomb,Berry
Longwood,Averett
Louisiana,Louisiana College
Louisville,Minnesota
Loyola (IL),Rockhurst
Loyola Marymount,Southeast Missouri State
Marquette,UT-Martin
Marshall,Jacksonville State
Maryland,Wagner
UMass,Siena
Mercer,Piedmont
Miami (FL),Howard
Middle Tennessee,Ohio Valley
Charleston Southern,Ole Miss
Mississippi State,Western Carolina
UMKC,Missouri
Missouri State,Eastern Illinois
Houston,Murray State
Michigan State,Navy
UNLV,Morehead State
New Mexico,Idaho State
Norfolk State,Pfeiffer
UNC,North Carolina Central
North Carolina A&T,Greensboro
North Carolina-Greensboro,Chowan
North Carolina State,Jackson State
North Texas,Arkansas-Monticello
Northern Colorado,Black Hills State
Northwestern,Houston Baptist
Notre Dame,Binghamton
Ohio State,UMass-Lowell
Oklahoma State,Southeastern Louisiana
Oregon,Coppin State
Oregon State,Rice
Penn State,Morgan State
Pepperdine,Fresno State
Pitt,Niagara
Portland,Concordia (OR)
Princeton,Rider
Purdue,Samford
Quinnipiac,Yale
Rhode Island,Pace
Richmond,Radford
Lafayette,Robert Morris
Fairleigh Dickinson,St. Joseph's
Saint Mary's (CA),Cal State Los Angeles
Sam Houston State,Austin College
San Diego State,Cal State Northridge
San Jose State,Bethesda University (CA)
Santa Clara,Cal State Fullerton
Texas State,Seattle
South Alabama,Carroll (MT)
South Carolina,North Florida
South Florida,Flagler
Louisiana Tech,Southern
Southern Illinois-Edwardsville,Harris-Stowe
SMU,Lamar
Southern Miss,William Carey
St. John's (NY),NJIT
Stanford,Wofford
Stephen F. Austin,Mississippi College
Stetson,Edward Waters
Stony Brook,Columbia
Syracuse,Kennesaw State
Temple,American
VCU,Tennessee
Tennessee State,Reinhardt
Tennessee Tech,Piedmont
Texas,North Dakota State
Texas A&M,Northwestern State
Texas A&M-Corpus Christi,Our Lady of the Lake
Texas Christian,Prairie View
UTEP,Washington State
Texas-Rio Grande Valley,Wayland Baptist
UTSA,Huston-Tillotson
Texas Tech,Loyola (MD)
Troy,Brewton-Parker
UCLA,Montana State
Utah,Ball State
Utah State,Weber State
Utah Valley,South Dakota
Valparaiso,ETSU
Virginia Tech,Maryland-Eastern Shore
Wake Forest,North Carolina-Asheville
Washington,South Carolina State
West Virginia,Monmouth
Pacific,Western Illinois
Wichita State,New Mexico State
Wisconsin,Northern Kentucky
Wright State,Belmont
Xavier,Northern Arizona
Air Force,Citadel
Louisiana-Monroe,Alabama-Birmingham
High Point,Arkansas-Pine Bluff
Army,Virginia Military Institute
Bethune-Cookman,Trinity (TX)
Butler,Maine
UC-Riverside,UC-San Diego
Canisius,Vermont
Colorado State,Montana
Davidson,Catholic
Bowling Green State,Drake
Duke,Fairfield
Duquesne,Bluefield State
Evansville,Earlham (IN)
Florida Gulf Coast,Nova Southeastern
Florida State,Manhattan
Georgetown,St. Francis (NY)
Green Bay,Illinois-Springfield
Hawaii,Cal State Bakersfield
La Salle,Colgate
Long Beach State,San Francisco State
LSU,Gardner-Webb
Boise State,Loyola Marymount
Michigan,Hillsdale
Nevada,Cal Poly
Northern Illinois,Aurora
Northern Iowa,North Dakota
Ohio,Appalachian State
Old Dominion,North Carolina-Wilmington
Oral Roberts,Tulsa
Delaware State,Penn
Providence,Albany (NY)
Saint Louis,Southern Illinois
San Diego,Southeast Missouri State
Santa Clara,San Diego Christian
South Carolina Upstate,Florida A&M
Portland State,USC
St. Bonaventure,Dartmouth
Western Kentucky,Austin Peay
Winthrop,Pfeiffer
Kent State,Youngstown State
Arizona,Cal State Northridge
Arkansas,Alabama State
Little Rock,Arkansas-Monticello
Austin Peay,Berea
UMass,Boston College
Northeastern,Boston University
University of California,Kennesaw State
UC-Davis,Holy Names
UC-Irvine,Pacific
UCF,Stetson
Creighton,Chicago State
Denver,Idaho State
North Carolina-Asheville,East Carolina
Charlotte,Elon
George Mason,Princeton
Hartford,St. Peter's
Holy Cross,Harvard
Howard,Goucher
Illinois,Coppin State
Utah State,Illinois State
Jacksonville,Florida National University
Kentucky,Buffalo
Lamar,Louisiana State-Alexandria
Loyola (MD),Cornell
Marshall,Savannah State
Miami (OH),Southern Utah
Missouri,Valparaiso
Nebraska,Northern Kentucky
Omaha,Central Arkansas
UNLV,Sam Houston State
New Mexico,Cal State Fullerton
UNC,Robert Morris
Notre Dame,Navy
Wright State,Ohio Dominican
Oklahoma,Southeastern Louisiana
Oklahoma State,Prairie View
Penn State,Fordham
Pitt,Samford
Purdue,IUPUI
Rhode Island,UMass-Lowell
George Washington,Rutgers
San Francisco,South Carolina State
Portland,San Jose State
Seton Hall,Mercer
South Florida,Jackson State
Stanford,South Dakota
Syracuse,Hampton
Texas,Alcorn State
