OFFENSE,MURDER & NON-NEGL. MANSLAUGHTER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,FELONY POSSESSION OF STOLEN PROPERTY,FORGERY/THEFT_FRAUD/IDENTITY THEFT,ARSON,FELONY SEX CRIMES (3),FELONY DANGEROUS DRUGS (1),FELONY DANGEROUS WEAPONS (2),FEL. CRIMINAL MISCHIEF & RELATED OFFENSES,OTHER FELONIES (4)
2000,673,2068,32562,25924,38352,49631,35442,2194,5714,3189,1839,38088,2958,12934,13945
2001,649,1981,28202,23453,32763,46329,29531,2114,5594,2681,1831,30743,3030,16026,13059
2002,587,2144,27229,21147,31275,45771,26656,1976,5859,1902,1513,29692,2804,13291,13956
2003,597,2070,25989,19139,29110,46751,23413,1545,8112,1492,1295,24076,2511,8400,13786
2004,570,1905,24373,18622,26976,48763,20884,1358,12984,1789,1263,25824,2987,8074,12454
2005,539,1858,24722,17750,24117,48243,18246,1250,12896,1831,1162,27391,3748,7776,11800
2006,596,1525,23739,17309,23143,46625,15745,1175,12579,1679,1096,29516,4315,7605,11063
2007,496,1351,21809,17493,21762,44924,13174,1073,12075,1527,1031,31459,5004,7090,11699
2008,523,1299,22401,16284,20725,44242,12482,1016,12216,1896,909,28936,5263,7003,11719
2009,471,1205,18601,16773,19430,39580,10670,823,10225,1474,914,26025,5952,6397,11950
2010,536,1373,19486,16956,18600,37835,10329,864,10055,1467,1053,22913,5413,6006,11616
2011,515,1420,19717,18482,18720,38501,9314,823,9876,1264,1028,21305,5037,6374,11533
2012,419,1445,20144,19381,19168,42497,8093,711,10233,1253,1380,19680,4979,6737,11929
2013,335,1378,19128,20297,17429,45368,7400,689,9493,1187,1073,19571,5155,7468,13014
2014,333,1352,16539,20207,16765,43862,7664,1090,9520,1205,1135,17113,4605,8466,13735
2015,352,1438,16931,20270,15125,44005,7332,904,10400,1026,1152,15279,4848,9253,13658
2016,335,1438,15500,20847,12990,44279,6327,769,11079,802,1336,14712,5465,9966,14217
2017,292,1449,13956,20052,12083,43150,5676,1019,10063,680,1367,13348,4843,10073,13514
