Activity,Year,Period,Estimate,Standard Error
Total Hours,2007,Annual,24.00,0.000
Total Hours,2008,Annual,24.00,0.000
Total Hours,2009,Annual,24.00,0.000
Total Hours,2010,Annual,24.00,0.000
Total Hours,2011,Annual,24.00,0.000
Total Hours,2012,Annual,24.00,0.000
Total Hours,2013,Annual,24.00,0.000
Total Hours,2014,Annual,24.00,0.000
Total Hours,2015,Annual,24.00,0.000
Total Hours,2016,Annual,24.00,0.000
Total Hours,2017,Annual,24.00,0.000
Personal Care,2007,Annual,9.33,0.026
Personal Care,2008,Annual,9.39,0.025
Personal Care,2009,Annual,9.45,0.023
Personal Care,2010,Annual,9.47,0.027
Personal Care,2011,Annual,9.49,0.026
Personal Care,2012,Annual,9.49,0.026
Personal Care,2013,Annual,9.54,0.027
Personal Care,2014,Annual,9.58,0.027
Personal Care,2015,Annual,9.64,0.028
Personal Care,2016,Annual,9.58,0.028
Personal Care,2017,Annual,9.59,0.025
Sleeping,2007,Annual,8.57,0.024
Sleeping,2008,Annual,8.60,0.023
Sleeping,2009,Annual,8.67,0.023
Sleeping,2010,Annual,8.67,0.024
Sleeping,2011,Annual,8.71,0.026
Sleeping,2012,Annual,8.73,0.026
Sleeping,2013,Annual,8.74,0.027
Sleeping,,Annual,8.80,0.025
Sleeping,2015,Annual,8.83,0.027
Sleeping,2016,Annual,8.79,0.028
Sleeping,2017,Annual,8.80,0.027
Eating and Drinking,2007,Annual,1.24,0.010
Eating and Drinking,2008,Annual,1.23,0.011
Eating and Drinking,2009,Annual,1.22,0.011
Eating and Drinking,2010,Annual,1.25,0.012
Eating and Drinking,2011,Annual,1.24,0.011
Eating and Drinking,2012,Annual,1.25,0.012
Eating and Drinking,2013,Annual,1.23,0.012
Eating and Drinking,2014,Annual,1.17,0.010
Eating and Drinking,2015,Annual,1.18,0.011
Eating and Drinking,2016,Annual,1.17,0.012
Eating and Drinking,2017,Annual,1.18,0.013
Household Activities,2007,Annual,1.84,0.023
