name,country,gender,birth_year
Roger Joseph Boscovich,Republic of Ragusa,male,1711
Emma Previato,"United States of America, Italy",female,1952
Feodor Deahna,,male,1815
Denis Henrion,France,male,1500
Henri Delannoy,France,male,1833
John Hymers,,male,1803
Alexander Grothendieck,France,male,1928
Theodore James Courant,United States of America,male,
Ljubomir Chakaloff,,male,1886
Earnshaw Cook,,male,1900
Nikolay Bogolyubov,"Soviet Union, Russia, Ukraine",male,1909
Henry W. Gould,United States of America,male,1928
C. S. Seshadri,India,male,1932
George F. Pinder,United States of America,male,
Roman Holowinsky,United States of America,male,1979
Johannes Hudde,Dutch Republic,male,1628
Morris Kline,United States of America,male,1908
Thomas Wolff,United States of America,male,1954
Joseph Lipman,Canada,male,1938
John Fox (statistician),,male,1946
Martin Bridson,United Kingdom,male,1964
Matthew Stewart (mathematician),,male,1717
Uriel Frisch,France,male,1940
Gábor Korchmáros,Hungary,male,1900
Dionigi Galletto,"Italy, Kingdom of Italy",male,1932
Quirico Filopanti,Kingdom of Italy,male,1812
Jeffery J. Leader,,male,
Thomas Rudd,,male,1583
Elon Lindenstrauss,Israel,male,1970
Yitang Zhang,"United States of America, Peoples Republic of China",male,1955
Idris Assani,"United States of America, Benin",male,
Peter Redford Scott Lang,,male,
James Stirling (mathematician),United Kingdom,male,1692
Étienne Pardoux,France,male,1948
Anadi Sankar Gupta,India,male,1932
Patrick Brosnan,United States of America,male,1968
Edward Vermilye Huntington,United States of America,male,1874
David Christiani,Germany,male,1610
Yvette Kosmann-Schwarzbach,France,female,1941
Benedikt Löwe,,male,1972
N. M. J. Woodhouse,,,
Giovanni Carandino,"France, Greece",male,1784
Nataša Pavlović,,female,
Heinrich Wilhelm Brandes,Germany,male,1777
Kim Thomas,United Kingdom,female,1967
Johann Friedrich Weidler,Germany,male,1691
Abu al-Wafa Buzjani,"Samanid dynasty, Buyid dynasty",male,940
François Jacquier,France,male,1711
Marc Rieffel,United States of America,male,1937
Thomas John IAnson Bromwich,United Kingdom,male,1875
Henri Darmon,Canada,male,1965
Adriaan van Roomen,Belgium,male,1561
Lancelot Hogben,United Kingdom,male,1895
Oscar Goldman (mathematician),United States of America,male,1925
Avinash Kak,"United States of America, India",male,1944
Mike Worboys,United Kingdom,male,1947
Chen Jingrun,"""Peoples Republic of China""",male,1933
Christopher Wursteisen,,male,
Charles Jasper Joly,United Kingdom of Great Britain and Ireland,male,1864
Herbert Enderton,United States of America,male,1936
Norman Macleod Ferrers,United Kingdom,male,1829
Ferdinand Augustin Hallerstein,Habsburg Empire,male,1703
Katia Sycara,Greece,female,
Jan Arnoldus Schouten,Kingdom of the Netherlands,male,1883
J. Barkley Rosser,United States of America,male,1907
E. F. Schumacher,"United Kingdom, Germany",male,1911
Franco Brezzi,Italy,male,1945
Jack Edmonds,Canada,male,1934
James R. Jackson,United States of America,male,1924
