Winner,Loser
Alabama,South Dakota State
Alabama A&M,Miles
Albany (NY),Duquesne
Appalachian State,Montreat
Arkansas,Sam Houston State
Little Rock,UT-Martin
Houston Baptist,Arkansas-Pine Bluff
Auburn,Fort Wayne
Austin Peay,Samford
Baylor,Lehigh
Bowling Green State,Lake Erie
Bradley,Eastern Illinois
BYU,Tennessee State
Texas-Arlington,Cal State Bakersfield
Cal State Northridge,Pepperdine
Campbell,Averett
Charlotte,Charleston Southern
South Carolina State,Claflin
Cleveland State,Grambling
Coastal Carolina,Akron
College of Charleston,Towson
Colorado,Wofford
Colorado State,Montana
UConn,Michigan State
Creighton,North Texas
Davidson,Emory
DePaul,UC-Riverside
Detroit,Northern Michigan
Duke,Georgia State
Eastern Kentucky,Cincinnati Christian
Eastern Michigan,Rochester (MI)
South Alabama,Florida State
George Mason,Virginia
Georgia,Jacksonville
Georgia Tech,Tulane
Gonzaga,Southern Utah
Harvard,MIT
Hawaii,Maryland-Eastern Shore
High Point,North Carolina-Greensboro
Houston,Florida A&M
Wright State,Idaho
Illinois,Colgate
Indiana,Bryant
Iona,Denver
Iowa,Texas-Rio Grande Valley
Iowa State,Southern
IUPUI,Utah Valley
Jacksonville State,Reinhardt
Kansas,Southeast Missouri State
Kansas State,North Dakota
Kent State,Drexel
Kentucky,Maryland
St. Francis (NY),Lafayette
Belmont,Lipscomb
Morehead State,LIU-Brooklyn
LSU,UCSB
Loyola (IL),Toledo
Loyola Marymount,Pacifica
Loyola (MD),Binghamton
Stony Brook,Marist
Marshall,Longwood
McNeese State,Louisiana College
Miami (FL),Stetson
Michigan,Slippery Rock
Middle Tennessee,Alabama State
Milwaukee,Mary
Minnesota,American
Ole Miss,Mississippi Valley State
Missouri State,Philander Smith
Monmouth,Hofstra
Morgan State,UTSA
Murray State,Brescia
Navy,Marymount (VA)
Omaha,Northern Illinois
New Orleans,San Jose State
UNC,Gardner-Webb
North Carolina-Asheville,Western Carolina
North Carolina A&T,Greensboro
North Carolina State,Miami (OH)
North Dakota State,Valley City State
Northeastern,Boston University
Northwestern State,East Texas Baptist
Oakland,Albion
Oklahoma State,UC-Davis
Holy Cross,Old Dominion
Oregon State,Niagara
Penn State,Saint Francis (PA)
Penn,UMBC
Pitt,Mount St. Mary's
Portland State,Pacific (OR)
Bucknell,Purdue
Norfolk State,Rhode Island
Richmond,Liberty
Rider,Robert Morris
