Winner,Loser
A&M-Corpus Christi,Our Lady of the Lake
South Ala.,AUM
Abilene Christian,Southwest (NM)
Alabama,Kennesaw St.
Arizona,Pacific
Arizona St.,Sacramento St.
Seattle U,Ark.-Pine Bluff
Auburn,UAB
Vanderbilt,Austin Peay
Marquette,Belmont
Bethune-Cookman,Trinity (FL)
St. Bonaventure,Binghamton
Montana,Boise St.
Bradley,Ball St.
Saint Peter's,Brown
Bucknell,Shenandoah
Buffalo,Pitt.-Bradford
UNLV,Cal Poly
Loyola Marymount,Cal St. Fullerton
California,Rice
Campbell,Montreat
Central Conn. St.,Hartford
Central Mich.,Jacksonville St.
Wichita St.,Charleston So.
Charlotte,Elon
Georgia,Chattanooga
Nevada,Coastal Caro.
Col. of Charleston,South Carolina St.
Iowa St.,Colorado
Eastern Ky.,Coppin St.
Dayton,Southeast Mo. St.
Delaware St.,Delaware
Drake,Simpson
Duquesne,Seton Hill
East Carolina,Grambling
FIU,Trinity Baptist
Yale,Fairfield
Michigan St.,Fla. Atlantic
Navy,Florida
Florida A&M,Johnson (FL)
Ga. Southern,Webber Int'l
George Mason,Colgate
George Washington,Lafayette
Georgia St.,Middle Ga. St.
Georgia Tech,Cornell
Grand Canyon,Portland St.
Stanford,Green Bay
Texas Tech,High Point
Hofstra,Canisius
New Mexico St.,Houston Baptist
Chicago St.,IIT
Idaho St.,Providence (MT)
Ill.-Chicago,San Francisco
Indiana,Eastern Ill.
Indiana St.,IUPUI
Iowa,Gardner-Webb
Kansas,Northern Colo.
Kentucky,Albany (NY)
LSU,McNeese
La.-Monroe,McMurry
Liberty,Covenant
Santa Clara,Lipscomb
Loyola Chicago,UTSA
Loyola Maryland,Tennessee St.
Marist,Holy Cross
Mercer,Allen
Miami (FL),UTRGV
Denver,Milwaukee
Mississippi St.,Eastern Wash.
UCLA,Monmouth
Hawaii,Montana St.
Morehead St.,Cincinnati Christian
Maryland,Mt. St. Mary's
Murray St.,Harris-Stowe
Clemson,N.C. Central
NC State,William & Mary
New Hampshire,Lyndon St.
Temple,North Carolina
North Dakota,Minn.-Morris
UC Davis,North Dakota St.
Illinois,North Florida
North Texas,Jarvis Christian
Boston U.,Northeastern
Northern Ill.,CSUN
Michigan,Northern Mich.
Northwestern,UMass Lowell
Notre Dame,Saint Francis (PA)
Oklahoma St.,UT Martin
Old Dominion,Niagara
Ole Miss,Northwestern St.
Omaha,UC Santa Barbara
Oral Roberts,Missouri St.
Oregon,Jackson St.
Penn,Robert Morris
Fresno St.,Pepperdine
Portland,Oregon Tech
Furman,Presbyterian
Purdue,N.C. A&T
Rhode Island,American
Richmond,James Madison
Rider,Princeton
Baylor,SFA
SIUE,Arkansas St.
Quinnipiac,Sacred Heart
Saint Joseph's,Drexel
Louisville,Samford
San Diego St.,Illinois St.
Savannah St.,Fla. National
Seton Hall,Dartmouth
Duke,Siena
Wright St.,South Dakota
South Fla.,Troy
TCU,Southeastern La.
Southern California,San Diego
Southern Ill.,Air Force
Arkansas,Southern U.
St. John's (NY),Wagner
Syracuse,Lehigh
Texas A&M,USC Upstate
New Mexico,Texas Southern
Tulane,Alabama A&M
UConn,Maine
Kansas St.,UMES
Minnesota,UMKC
Tennessee,UNC Asheville
UNCW,Milligan
Utah,Southern Utah
BYU,Utah Valley
VCU,Prairie View
Valparaiso,Fort Wayne
Eastern Mich.,Vermont
Villanova,Fairleigh Dickinson
Virginia,Morgan St.
Wake Forest,UMBC
Washington St.,Northern Ariz.
Weber St.,Utah St.
West Virginia,Northern Ky.
Cincinnati,Western Caro.
Wisconsin,Western Ill.
Missouri,Wofford
Xavier,Miami (OH)
Appalachian St.,Jacksonville
Boston College,St. Francis Brooklyn
Butler,The Citadel
CSU Bakersfield,San Diego Christian
Wright St.,CSUN
Liberty,Clarks Summit
Akron,Cleveland St.
UNI,Colorado St.
Davidson,UCF
DePaul,Western Mich.
Santa Clara,Denver
Duke,Bryant
UT Arlington,Fordham
Georgetown,Radford
Mid-Amer. Christian,Grambling
UNCG,Greensboro
Providence,Harvard
Montana St.,Hawaii Hilo
Massachusetts,Howard
Kentucky,NJIT
Little Rock,Central Baptist
Long Beach St.,BYU-Hawaii
Loyola Chicago,Eureka
Memphis,Southern Miss.
Lipscomb,Milwaukee
Nebraska,Mississippi Val.
